id,frequency,Chrome
1,d79/y2020,22
2,d80/y2020,2
3,d81/y2020,2
4,d86/y2020,10
5,d88/y2020,5
6,d108/y2020,37
7,d109/y2020,26
8,d110/y2020,14
9,d111/y2020,2
10,d112/y2020,5
11,d113/y2020,1
12,d114/y2020,12
13,d115/y2020,1
