id,frequency,Wednesday,Thursday,Friday,Monday,Tuesday,India,China,America,British,Mongolia,East_malaysia,South_america,Italy,Germany
1,week11/y2020,6
2,week12/y2020,17,2,2
3,week13/y2020,10,5
4,week16/y2020,37,26,14,2,5
5,week17/y2020,1,12,1
